"Date","EmailSent","EmailDelivered","EmailFailed","SMSSent","SMSDelivered","SMSFailed"
"01/04/2018","137734","135576","2158","19755","19417","338"
"01/05/2018","208895","205285","3610","20186","19643","543"
"01/06/2018","232475","228215","4260","14099","13716","383"
"01/07/2018","380972","374340","6632","39693","38284","1409"
"01/08/2018","227960","223926","4034","22162","21007","1155"
"01/09/2018","290525","285401","5124","20267","19295","972"
"01/10/2018","368280","361038","7242","34690","33064","1626"
"01/11/2018","585898","573364","12534","52506","49020","3486"
"01/12/2018","388872","380470","8402","31416","30306","1110"
"01/01/2019","251039","248807","2232","19376","18498","878"
"01/02/2019","456074","447141","8933","42074","40848","1226"
"01/03/2019","387385","379536","7849","32356","31269","1087"
